,teamId,playerId,playerName,min,xG,eventType,teamColor,match_id,isOwnGoal,x,y,situation,teamName
11188,773958,750913,Luiz Araujo,61,0.016985684633255,Miss,#751413,3787624,False,79.44417819533112,15.661656586343565,RegularPlay,Atlanta United
11228,773958,750913,Luiz Araujo,36,0.9008288383483888,AttemptSaved,#751413,3787628,False,96.4122807008,21.75719852498713,RegularPlay,Atlanta United
11236,773958,750913,Luiz Araujo,64,0.0406280159950256,Miss,#751413,3787628,False,85.81617647,33.313748836517334,RegularPlay,Atlanta United
11239,773958,750913,Luiz Araujo,71,0.033793419599533,AttemptSaved,#751413,3787628,False,78.43058424406556,18.464204358343565,RegularPlay,Atlanta United
11328,1323940,558136,Karol Swiderski,5,0.655588686466217,AttemptSaved,#333333,3787623,False,99.2105277880393,34.22874941825867,RegularPlay,Charlotte
11329,1323940,558136,Karol Swiderski,5,0.655588686466217,AttemptSaved,#333333,3787623,False,99.2105277880393,34.22874941825867,RegularPlay,Charlotte FC
11347,1323940,558136,Karol Swiderski,68,0.2367317974567413,Goal,#333333,3787623,False,100.16379455075412,34.30500116348267,FromCorner,Charlotte
11348,1323940,558136,Karol Swiderski,68,0.2367317974567413,Goal,#333333,3787623,False,100.16379455075412,34.30500116348267,FromCorner,Charlotte FC
11360,1323940,558136,Karol Swiderski,90,0.1393892168998718,AttemptSaved,#333333,3787623,False,96.1228040718214,35.219998836517334,SetPiece,Charlotte
11361,1323940,558136,Karol Swiderski,90,0.1393892168998718,AttemptSaved,#333333,3787623,False,96.1228040718214,35.219998836517334,SetPiece,Charlotte FC
11362,1323940,558136,Karol Swiderski,90,0.1177071332931518,Goal,#333333,3787623,False,96.4122807008,37.431250000000006,SetPiece,Charlotte
11363,1323940,558136,Karol Swiderski,90,0.1177071332931518,Goal,#333333,3787623,False,96.4122807008,37.431250000000006,SetPiece,Charlotte FC
11393,915807,394462,Hany Mukhtar,27,0.0249370634555816,AttemptSaved,#1E1742,3787684,False,78.65582352553443,42.29281294107437,RegularPlay,Nashville SC
11395,915807,394462,Hany Mukhtar,38,0.1600772738456726,AttemptSaved,#1E1742,3787684,False,90.8000030517578,44.91159021422574,FastBreak,Nashville SC
11398,915807,394462,Hany Mukhtar,50,0.0289323031902313,Miss,#1E1742,3787684,False,74.37621703133112,34.0,FreeKick,Nashville SC
11403,915807,394462,Hany Mukhtar,56,0.7884,Goal,#1E1742,3787684,False,94.0,34.0,Penalty,Nashville SC
11406,1218886,510698,Sebastian Driussi,61,0.304288238286972,Goal,#51B051,3787684,False,102.43965806650829,30.231999908447264,FromCorner,Austin FC
11417,1218886,510698,Sebastian Driussi,5,0.0675463080406189,Miss,#51B051,3787630,False,88.69999694824219,37.05,RegularPlay,Austin FC
11430,1218886,510698,Sebastian Driussi,48,0.1114915311336517,AttemptSaved,#51B051,3787630,False,91.0999984741211,36.13499941825867,RegularPlay,Austin FC
11431,1218886,510698,Sebastian Driussi,48,0.0694968104362487,AttemptSaved,#51B051,3787630,False,91.5,35.90625,RegularPlay,Austin FC
11444,1218886,510698,Sebastian Driussi,82,0.2099519073963165,Miss,#51B051,3787630,False,92.0,40.049285715,RegularPlay,Austin FC
11474,6603,792024,Jeremy Ebobisse,13,0.0845383405685424,Miss,#212123,3787625,False,94.2894766272786,26.343125882148744,RegularPlay,San Jose Earthquakes
11478,6603,792024,Jeremy Ebobisse,24,0.7884,Goal,#212123,3787625,False,94.0,34.0,Penalty,San Jose Earthquakes
11479,6603,792024,Jeremy Ebobisse,35,0.0888448059558868,Miss,#212123,3787625,False,87.31911928487588,30.797499418258663,FreeKick,San Jose Earthquakes
11483,6603,792024,Jeremy Ebobisse,49,0.0695481300354003,AttemptSaved,#212123,3787625,False,87.64117319424822,35.525000000000006,RegularPlay,San Jose Earthquakes
11492,6603,792024,Jeremy Ebobisse,75,0.052712857723236,Miss,#212123,3787625,False,92.0999984741211,33.92375116348266,RegularPlay,San Jose Earthquakes
11565,867280,452368,Cristian Arango,38,0.076918214559555,AttemptSaved,#000000,3787679,False,98.5350847743214,27.36238031076756,FromCorner,Los Angeles FC
11660,773958,750913,Luiz Araujo,18,0.0502688586711883,Miss,#751413,3787677,False,91.3000030517578,39.545001283464885,FromCorner,Atlanta United
11671,773958,750913,Luiz Araujo,50,0.0184711217880249,AttemptSaved,#751413,3787677,False,80.11990463206556,49.255542468087135,RegularPlay,Atlanta United
11697,6603,792024,Jeremy Ebobisse,51,0.2899297773838043,AttemptSaved,#212123,3787415,False,100.63793248175412,36.592501163482666,RegularPlay,San Jose Earthquakes
11706,6603,792024,Jeremy Ebobisse,78,0.1140397489070892,Miss,#212123,3787415,False,97.6666696107786,33.92375116348266,RegularPlay,San Jose Earthquakes
11708,6603,792024,Jeremy Ebobisse,82,0.0451322495937347,Miss,#212123,3787415,False,83.83640433026888,43.86063479972574,RegularPlay,San Jose Earthquakes
11838,6603,792024,Jeremy Ebobisse,26,0.0926358699798584,AttemptSaved,#212123,3787678,False,91.6999969482422,32.474999999999994,RegularPlay,San Jose Earthquakes
11846,6603,792024,Jeremy Ebobisse,45,0.037174105644226,Miss,#212123,3787678,False,83.72378468953444,19.865478244343564,RegularPlay,San Jose Earthquakes
11861,6603,792024,Jeremy Ebobisse,81,0.3107015490531921,Miss,#212123,3787678,False,100.54310634250828,29.463570785767555,RegularPlay,San Jose Earthquakes
11878,1218886,510698,Sebastian Driussi,45,0.0193214416503906,AttemptSaved,#51B051,3787714,False,87.53382189112412,57.96435818197829,RegularPlay,Austin FC
11879,1218886,510698,Sebastian Driussi,45,0.1740786135196685,AttemptSaved,#51B051,3787714,False,98.3421052628,40.80571556846489,RegularPlay,Austin FC
11883,1218886,510698,Sebastian Driussi,61,0.1797437071800232,Miss,#51B051,3787714,False,96.3157909450393,37.744,RegularPlay,Austin FC
11886,1218886,510698,Sebastian Driussi,75,0.0356572270393371,Miss,#51B051,3787714,False,80.34514391353443,32.62750058174133,RegularPlay,Austin FC
11887,1218886,510698,Sebastian Driussi,83,0.0822043418884277,AttemptSaved,#51B051,3787714,False,95.1578917908214,33.77125058174133,RegularPlay,Austin FC
11932,867280,452368,Cristian Arango,71,0.0583890974521636,AttemptSaved,#000000,3787690,False,99.87930889824588,20.91643365884357,RegularPlay,Los Angeles FC
11964,915807,394462,Hany Mukhtar,22,0.0507692098617553,Miss,#1E1742,3787688,False,97.2807032260393,27.27833397423245,RegularPlay,Nashville SC
11980,915807,394462,Hany Mukhtar,65,0.1670317947864532,AttemptSaved,#1E1742,3787688,False,90.0999984741211,29.799762544232447,RegularPlay,Nashville SC
11982,915807,394462,Hany Mukhtar,66,0.0496579110622406,AttemptSaved,#1E1742,3787688,False,91.9000015258789,27.78261840576756,RegularPlay,Nashville SC
12021,773958,750913,Luiz Araujo,23,0.037950724363327,AttemptSaved,#751413,3787687,False,84.7373786408,30.34000058174133,RegularPlay,Atlanta United
12022,773958,750913,Luiz Araujo,24,0.0265113711357116,Miss,#751413,3787687,False,76.96650313753443,31.026248836517333,RegularPlay,Atlanta United
12028,773958,750913,Luiz Araujo,47,0.0185504257678985,AttemptSaved,#751413,3787687,False,80.68301142806556,21.75719852498713,RegularPlay,Atlanta United
12042,773958,750913,Luiz Araujo,90,0.033004343509674,Miss,#751413,3787687,False,80.00728499133112,32.62750058174133,RegularPlay,Atlanta United
12072,1323940,558136,Karol Swiderski,86,0.1481732428073883,AttemptSaved,#333333,3787539,False,91.0,33.08499941825866,RegularPlay,Charlotte
12073,1323940,558136,Karol Swiderski,86,0.1481732428073883,AttemptSaved,#333333,3787539,False,91.0,33.08499941825866,RegularPlay,Charlotte FC
12088,1323940,558136,Karol Swiderski,90,0.1902301013469696,Miss,#333333,3787539,False,99.3070175438,32.16999883651733,SetPiece,Charlotte
12089,1323940,558136,Karol Swiderski,90,0.1902301013469696,Miss,#333333,3787539,False,99.3070175438,32.16999883651733,SetPiece,Charlotte FC
12247,1323940,558136,Karol Swiderski,27,0.1235586702823638,AttemptSaved,#333333,3787674,False,90.3000030517578,36.592501163482666,RegularPlay,Charlotte
12248,1323940,558136,Karol Swiderski,27,0.1235586702823638,AttemptSaved,#333333,3787674,False,90.3000030517578,36.592501163482666,RegularPlay,Charlotte FC
12257,1323940,558136,Karol Swiderski,53,0.1369977593421936,AttemptSaved,#333333,3787674,False,91.5,35.90625,RegularPlay,Charlotte
