season,player,total_minutes_played,n_rage_fouls
2020,Andros Townsend,2430,2
2020,Kevin De Bruyne,2116,2
2020,Erik Lamela,831,2
2020,Ashley Westwood,3647,2
2020,Dan Burn,2208,2
2020,Oliver Norwood,2387,2
2020,Oriol Romeu,1888,2
2020,Lucas Moura,1537,2
2020,Matt Doherty,1355,2
2020,Roberto Firmino,3032,2
2020,Harry Maguire,3284,2
2020,Ben Davies,1463,2
2020,Riyad Mahrez,2065,2
2020,Jamaal Lascelles,1747,2
2020,Sadio Mane,3052,2
2020,Vladimir Coufal,3279,2
2020,Andrew Robertson,3663,2
2020,Abdoulaye Doucoure,2622,2
2020,Helder Costa,1245,2
2020,Hector Bellerin,2340,2
2020,Matt Targett,3681,2
2020,Diogo Jota,1202,2
2020,Ruben Neves,2880,2
2020,Nelson Semedo,3211,2
2020,Axel Tuanzebe,445,2
2020,Ademola Lookman,2919,2
2020,Grady Diangana,1319,2
2020,Kyle Walker-Peters,2834,2
2020,Trent Alexander-Arnold,3282,2
2020,Matthew Cash,2590,2
2020,Wilfred Ndidi,2329,2
2020,Gabriel Magalhaes,2192,2
2020,Douglas Luiz,2985,2
2020,Reece James,2571,2
2021,Danny Rose,751,1
2021,Teemu Pukki,1651,1
2021,Zanka,476,1
2021,Jay Rodriguez,413,1
2021,James Tomkins,587,1
2021,Johann Gudmundsson,1023,1
2021,Marc Albrighton,450,1
2021,Jordan Ayew,1212,1
2021,Matt Ritchie,1443,1
2021,Mateusz Klich,927,1
2021,Kevin De Bruyne,808,1
2021,Joel Matip,1366,1
2021,Kiko Femenia,885,1
2021,Ashley Westwood,1238,1
2021,Matthew Lowton,1435,1
2021,Wilfried Zaha,1563,1
2021,Lewis Dunk,1373,1
2021,Jannik Vestergaard,523,1
2021,Lucas Digne,1262,1
2021,Lucas Moura,1163,1
2021,Conor Coady,1766,1
2021,Christian Norgaard,1629,1
2021,Jamaal Lascelles,1376,1
2021,Kurt Zouma,1058,1
2021,Joel Veltman,1157,1
2021,Sam Byram,54,1
2021,Marcal,942,1
2021,Bruno Fernandes,1472,1
2021,Andreas Christensen,1047,1
2021,James Tarkowski,1359,1
2021,Ivan Toney,1476,1
2021,Ayoze Perez,303,1
2021,Allan Saint-Maximin,1669,1
2021,Kieran Dowell,336,1
2021,Matt Targett,1462,1
2021,James Maddison,1164,1
2021,Harry Winks,277,1
2021,Joelinton,1240,1
2021,Rico Henry,1486,1
2021,Thomas Partey,1326,1
2021,Nicolas Pepe,552,1
2021,Ainsley Maitland-Niles,303,1
2021,Ruben Loftus-Cheek,771,1
2021,Rob Holding,312,1
2021,Marcus Rashford,532,1
2021,Konstantinos Tsimikas,426,1
2021,Yves Bissouma,1121,1
2021,Rodrigo,1489,1
2021,Miguel Almiron,1037,1
2021,Caglar Soyuncu,1534,1
2021,John McGinn,1514,1
2021,Jarrod Bowen,1601,1
2021,Ismaila Sarr,1113,1
2021,Kai Havertz,931,1
2021,Harvey Barnes,1100,1
2021,Douglas Luiz,1238,1
2021,Alexis Mac Allister,472,1
2021,Albert Sambi Lokonga,891,1
2021,Anthony Gordon,765,1
2021,Enock Mwepu,575,1
2021,Trevoh Chalobah,866,1
2021,Bryan Mbeumo,1420,1
2021,Sergio Reguilon,1240,1
2021,Takehiro Tomiyasu,1405,1
2021,Billy Gilmour,1024,1
2021,Crysencio Summerville,148,1
2021,Japhet Tanganga,662,1
2021,Jeremy Ngakia,540,1
2021,Frank Onyeka,853,1
2017,Jermain Defoe,1186,1
2017,Peter Crouch,1717,1
2017,Wayne Rooney,2376,1
2017,Ashley Young,2624,1
2017,Charlie Adam,517,1
2017,Leon Britton,311,1
2017,Gary Cahill,2324,1
2017,Yohan Cabaye,2533,1
2017,Mesut Ozil,2313,1
2017,Adrian Mariappa,2393,1
2017,Nathan Dyer,1389,1
2017,Dan Gosling,2133,1
2017,Sergio Aguero,2108,1
2017,Phil Bardsley,1215,1
2017,Glenn Murray,2335,1
2017,Adam Lallana,282,1
2017,Scott Arfield,1429,1
2017,Jonny Evans,2440,1
2017,Jack Cork,3677,1
2017,Joe Allen,3384,1
2017,Olivier Giroud,1124,1
2017,Alexis Sanchez,2704,1
2017,Mohamed Diame,2179,1
2017,Kieran Gibbs,3031,1
2017,David Luiz,912,1
2017,Eric Maxim Choupo-Moting,2411,1
2017,Andre Ayew,2002,1
2017,Gaetan Bong,2389,1
2017,Ashley Barnes,2341,1
2017,Eden Hazard,2568,1
2017,Markus Suttner,1260,1
2017,Martin Olsson,3363,1
2017,Kyle Naughton,3242,1
2017,Leroy Fer,1488,1
2017,Hal Robson-Kanu,913,1
2017,Claudio Yacob,979,1
2017,Jonjo Shelvey,2469,1
2017,Marc Albrighton,2748,1
2017,Pedro,1633,1
2017,Cheikhou Kouyate,3032,1
2017,Jordan Ayew,3112,1
2017,Aaron Cresswell,3331,1
2017,Christian Kabasele,2518,1
2017,Matt Ritchie,2977,1
2017,Steve Cook,3007,1
2017,Christian Eriksen,3432,1
2017,Kyle Walker,3049,1
2017,Yannick Bolasie,899,1
2017,Cedric Soares,2998,1
2017,Tom Cleverley,2069,1
2017,Ander Herrera,1373,1
2017,Kyle Bartley,252,1
2017,Victor Wanyama,934,1
2017,Alexandre Lacazette,2343,1
2017,Scott Malone,1225,1
2017,Joselu,1820,1
2017,Danny Drinkwater,573,1
2017,Matty James,1060,1
2017,Shane Duffy,3519,1
2017,Davy Propper,3344,1
2017,Idrissa Gueye,2960,1
2017,Shkodran Mustafi,2437,1
2017,Charlie Austin,1141,1
2017,Jonathan Hogg,2578,1
2017,Serge Aurier,1553,1
2017,Alex Oxlade-Chamberlain,1872,1
2017,Lewis Dunk,3658,1
2017,Anthony Knockaert,2584,1
2017,Oriol Romeu,3107,1
2017,Bruno Martins Indi,1330,1
2017,Tom Ince,2631,1
2017,Ryan Fraser,2143,1
2017,Robbie Brady,1365,1
2017,Ben Mee,2805,1
2017,Paul Pogba,2318,1
2017,Jamie Vardy,3465,1
2017,Will Hughes,1050,1
2017,Jesse Lingard,1938,1
2017,Oumar Niasse,1189,1
2017,Emre Can,2241,1
2017,Sam Byram,283,1
2017,Arthur Masuaku,2024,1
2017,Calum Chambers,922,1
2017,Andre Gray,1640,1
2017,Kenedy,1076,1
2017,Alfie Mawson,3667,1
2017,Joseph Gomez,2042,1
2017,Lewis Cook,2414,1
2017,Dominic Solanke,666,1
2017,Florent Hadergjonaj,1802,1
2017,Jacob Murphy,1242,1
2017,Leroy Sane,2594,1
2017,Daniel Amartey,541,1
2017,Lys Mousset,695,1
2017,Alexander Sorloth,384,1
2017,Aaron Mooy,3283,1
2017,Davinson Sanchez,2763,1
2017,Nikola Vlasic,620,1
2017,Konstantinos Mavropanos,290,1
2018,James Milner,1930,1
2018,Aaron Lennon,1309,1
2018,Wes Morgan,2119,1
2018,Mark Noble,2479,1
2018,Robert Snodgrass,2393,1
2018,Adrian Mariappa,2081,1
2018,Sergio Aguero,2586,1
2018,Joao Moutinho,3259,1
2018,Phil Bardsley,1793,1
2018,James McArthur,3255,1
2018,Sol Bamba,2681,1
2018,Jose Holebas,2621,1
2018,Ryan Bertrand,2332,1
2018,Andy Carroll,506,1
2018,Danny Simpson,313,1
2018,Bruno,1210,1
2018,Dale Stephens,2740,1
2018,Danny Rose,1933,1
2018,Craig Cathcart,3315,1
2018,Juan Mata,1384,1
2018,Ryan Bennett,3313,1
2018,Aaron Ramsey,1449,1
2018,Mohamed Diame,2354,1
2018,David Luiz,3484,1
2018,Willian,2229,1
2018,Morgan Schneiderlin,895,1
2018,Seamus Coleman,2777,1
2018,Gaetan Bong,1961,1
2018,Beram Kayal,1039,1
2018,Ashley Barnes,2577,1
2018,Eden Hazard,3141,1
2018,Etienne Capoue,3158,1
2018,James Tomkins,2747,1
2018,Jonjo Shelvey,1047,1
2018,Marc Albrighton,1741,1
2018,Cheikhou Kouyate,2057,1
2018,Harry Arter,2135,1
2018,Denis Odoi,2796,1
2018,Matt Ritchie,3143,1
2018,Jordan Henderson,2152,1
2018,Michail Antonio,2264,1
2018,Adam Smith,2257,1
2018,Cedric Soares,1622,1
2018,Victor Wanyama,565,1
2018,Cenk Tosun,1184,1
2018,Andre Schurrle,1738,1
2018,Ilkay Gundogan,2298,1
2018,Ashley Westwood,3055,1
2018,Matthew Lowton,1902,1
2018,Charlie Austin,1076,1
2018,Jonathan Hogg,2570,1
2018,Fabian Schar,2156,1
2018,Harry Kane,2604,1
2018,Serge Aurier,610,1
2018,Matej Vydra,375,1
2018,Wilfried Zaha,3257,1
2018,Lewis Dunk,3414,1
2018,Danilo,866,1
2018,Felipe Anderson,3253,1
2018,Mateo Kovacic,1844,1
2018,Rachid Ghezzal,814,1
2018,Roberto Firmino,2758,1
2018,Willy Boly,3505,1
2018,Raheem Sterling,2954,1
2018,Conor Coady,3702,1
2018,Harry Maguire,2887,1
2018,Jordon Ibe,893,1
2018,Charlie Taylor,3513,1
